8.440000000000000835e-01 1.320274987318716509e+00 -3.183184329306670834e-01
9.320000000000000506e-01 3.920610803519078980e-01 -1.482728457670333677e-01
1.020000000000000018e+00 0.000000000000000000e+00 -1.437946338986079708e-01
1.108000000000000096e+00 2.574466979048467552e-02 -4.733666015020528139e-02
1.196000000000000174e+00 1.151006706797518819e-01 -7.428190182536235919e-02
1.284000000000000252e+00 3.025800042706400794e-01 -9.096105439415580474e-02
1.372000000000000108e+00 4.649057949215167351e-01 -8.759457623951777405e-02
1.459999999999999964e+00 6.377028974275346096e-01 -6.309416615561948272e-02
1.548000000000000043e+00 8.774706503409992475e-01 -9.396189591135419017e-02
1.636000000000000121e+00 1.104891722157354650e+00 -8.766783583145926206e-02
1.724000000000000199e+00 1.282454860008888975e+00 -7.730147734776487978e-02
1.812000000000000277e+00 1.486291239907256090e+00 -9.941208428412605380e-02
1.900000000000000133e+00 1.619306221834962312e+00 -9.949454287654101170e-02
1.987999999999999989e+00 1.800422184932068292e+00 -9.340978371181794804e-02
2.076000000000000068e+00 1.988311683935091390e+00 -1.440967475048070268e-01
2.164000000000000146e+00 2.231337347264598314e+00 -1.711615143189941513e-01
2.252000000000000224e+00 2.648523960431736324e+00 -1.732778459748878785e-01
2.340000000000000302e+00 2.931908816437393206e+00 -2.092526251100378931e-01
2.428000000000000380e+00 3.129877960797223579e+00 -2.363288970979494641e-01
2.516000000000000458e+00 3.399274276935881911e+00 -2.674709257592023937e-01
2.604000000000000092e+00 3.784648697158543573e+00 -2.349655393588194752e-01
2.692000000000000171e+00 5.212355858089197547e+00 -5.331680485550498449e-01
2.780000000000000249e+00 8.657084906646186795e+00 nan
2.867999999999999883e+00 8.657084906646186795e+00 nan
2.955999999999999961e+00 8.657084906646186795e+00 nan
